Hugo_Symbol	type	freq	data	class	n.samples	n.patients
PIK3CA	HR+	0.3357	brca_igr_2015	Metastasis	143	143
SYNE1	HR+	0.049	brca_igr_2015	Metastasis	143	143
ESR1	HR+	0.1259	brca_igr_2015	Metastasis	143	143
KMT2D	HR+	0.042	brca_igr_2015	Metastasis	143	143
EP300	HR+	0.042	brca_igr_2015	Metastasis	143	143
AKT1	HR+	0.049	brca_igr_2015	Metastasis	143	143
ERBB4	HR+	0.035	brca_igr_2015	Metastasis	143	143
PALB2	HR+	0.035	brca_igr_2015	Metastasis	143	143
NF1	HR+	0.035	brca_igr_2015	Metastasis	143	143
KMT2C	HR+	0.035	brca_igr_2015	Metastasis	143	143
GATA3	HR+	0.028	brca_igr_2015	Metastasis	143	143
CDKN2A	HR+	0	brca_igr_2015	Metastasis	143	143
RB1	HR+	0.035	brca_igr_2015	Metastasis	143	143
SETD2	HR+	0.035	brca_igr_2015	Metastasis	143	143
BRCA2	HR+	0.021	brca_igr_2015	Metastasis	143	143
KEAP1	HR+	0.021	brca_igr_2015	Metastasis	143	143
TET1	HR+	0.021	brca_igr_2015	Metastasis	143	143
MAP3K1	HR+	0.0629	brca_igr_2015	Metastasis	143	143
ASXL1	HR+	0.021	brca_igr_2015	Metastasis	143	143
EPHB1	HR+	0.021	brca_igr_2015	Metastasis	143	143
MAP2K4	HR+	0.021	brca_igr_2015	Metastasis	143	143
BRAF	HR+	0.021	brca_igr_2015	Metastasis	143	143
ARID2	HR+	0.021	brca_igr_2015	Metastasis	143	143
SMARCA4	HR+	0.021	brca_igr_2015	Metastasis	143	143
KMT2A	HR+	0.021	brca_igr_2015	Metastasis	143	143
ARID1A	HR+	0.021	brca_igr_2015	Metastasis	143	143
USP9X	HR+	0.021	brca_igr_2015	Metastasis	143	143
KDM6A	HR+	0.021	brca_igr_2015	Metastasis	143	143
ASXL2	HR+	0.021	brca_igr_2015	Metastasis	143	143
IGF1R	HR+	0.007	brca_igr_2015	Metastasis	143	143
PMS1	HR+	0	brca_igr_2015	Metastasis	143	143
BLM	HR+	0.007	brca_igr_2015	Metastasis	143	143
PTEN	HR+	0.014	brca_igr_2015	Metastasis	143	143
NOTCH2	HR+	0.014	brca_igr_2015	Metastasis	143	143
PTCH1	HR+	0.014	brca_igr_2015	Metastasis	143	143
ATR	HR+	0	brca_igr_2015	Metastasis	143	143
FBXW7	HR+	0.014	brca_igr_2015	Metastasis	143	143
ATM	HR+	0.014	brca_igr_2015	Metastasis	143	143
MTOR	HR+	0.014	brca_igr_2015	Metastasis	143	143
BIVM-ERCC5	HR+	0.014	brca_igr_2015	Metastasis	143	143
CBFB	HR+	0.014	brca_igr_2015	Metastasis	143	143
FANCD2	HR+	0.014	brca_igr_2015	Metastasis	143	143
ERBB3	HR+	0.014	brca_igr_2015	Metastasis	143	143
CARD11	HR+	0.014	brca_igr_2015	Metastasis	143	143
ALK	HR+	0.035	brca_igr_2015	Metastasis	143	143
AKAP9	HR+	0.028	brca_igr_2015	Metastasis	143	143
ERBB2	HR+	0.035	brca_igr_2015	Metastasis	143	143
TBX3	HR+	0.007	brca_igr_2015	Metastasis	143	143
PTPRD	HR+	0.028	brca_igr_2015	Metastasis	143	143
KIT	HR+	0.028	brca_igr_2015	Metastasis	143	143
CTCF	HR+	0.028	brca_igr_2015	Metastasis	143	143
TSC1	HR+	0.028	brca_igr_2015	Metastasis	143	143
NCOR1	HR+	0.028	brca_igr_2015	Metastasis	143	143
MITF	HR+	0.007	brca_igr_2015	Metastasis	143	143
MAPK1	HR+	0.007	brca_igr_2015	Metastasis	143	143
NTRK3	HR+	0.007	brca_igr_2015	Metastasis	143	143
XPO1	HR+	0.007	brca_igr_2015	Metastasis	143	143
EGFR	HR+	0.007	brca_igr_2015	Metastasis	143	143
GNAQ	HR+	0.007	brca_igr_2015	Metastasis	143	143
MAP3K13	HR+	0.021	brca_igr_2015	Metastasis	143	143
JAK1	HR+	0.021	brca_igr_2015	Metastasis	143	143
MLH1	HR+	0.021	brca_igr_2015	Metastasis	143	143
PRDM1	HR+	0.021	brca_igr_2015	Metastasis	143	143
TSC2	HR+	0.021	brca_igr_2015	Metastasis	143	143
PIK3R1	HR+	0.021	brca_igr_2015	Metastasis	143	143
PIK3CG	HR+	0.021	brca_igr_2015	Metastasis	143	143
PBRM1	HR+	0.021	brca_igr_2015	Metastasis	143	143
ATRX	HR+	0.014	brca_igr_2015	Metastasis	143	143
PARP1	HR+	0.021	brca_igr_2015	Metastasis	143	143
TSHR	HR+	0.021	brca_igr_2015	Metastasis	143	143
UBR5	HR+	0.021	brca_igr_2015	Metastasis	143	143
APC	HR+	0.021	brca_igr_2015	Metastasis	143	143
KRAS	HR+	0.021	brca_igr_2015	Metastasis	143	143
SF3B1	HR+	0.021	brca_igr_2015	Metastasis	143	143
SMO	HR+	0.014	brca_igr_2015	Metastasis	143	143
CDKN1B	HR+	0.014	brca_igr_2015	Metastasis	143	143
FH	HR+	0.014	brca_igr_2015	Metastasis	143	143
TAF1	HR+	0	brca_igr_2015	Metastasis	143	143
BCL6	HR+	0.014	brca_igr_2015	Metastasis	143	143
GPR124	HR+	0.014	brca_igr_2015	Metastasis	143	143
CDH1	HR+	0.014	brca_igr_2015	Metastasis	143	143
PPP2R1A	HR+	0.014	brca_igr_2015	Metastasis	143	143
CHEK2	HR+	0.014	brca_igr_2015	Metastasis	143	143
PAX5	HR+	0.014	brca_igr_2015	Metastasis	143	143
CBL	HR+	0.014	brca_igr_2015	Metastasis	143	143
CDK12	HR+	0.014	brca_igr_2015	Metastasis	143	143
PDE4DIP	HR+	0.014	brca_igr_2015	Metastasis	143	143
KDM5C	HR+	0.014	brca_igr_2015	Metastasis	143	143
NSD1	HR+	0.014	brca_igr_2015	Metastasis	143	143
AR	HR+	0.014	brca_igr_2015	Metastasis	143	143
SMAD4	HR+	0.014	brca_igr_2015	Metastasis	143	143
FGFR4	HR+	0.014	brca_igr_2015	Metastasis	143	143
MYCN	HR+	0.014	brca_igr_2015	Metastasis	143	143
ARID5B	HR+	0	brca_igr_2015	Metastasis	143	143
LIFR	HR+	0.014	brca_igr_2015	Metastasis	143	143
EZH2	HR+	0.014	brca_igr_2015	Metastasis	143	143
EPHA3	HR+	0.014	brca_igr_2015	Metastasis	143	143
MDM2	HR+	0.014	brca_igr_2015	Metastasis	143	143
CIC	HR+	0.014	brca_igr_2015	Metastasis	143	143
FOXP1	HR+	0.007	brca_igr_2015	Metastasis	143	143
DDR2	HR+	0.007	brca_igr_2015	Metastasis	143	143
IKZF1	HR+	0.007	brca_igr_2015	Metastasis	143	143
PIK3CD	HR+	0	brca_igr_2015	Metastasis	143	143
ERCC4	HR+	0	brca_igr_2015	Metastasis	143	143
FGFR1	HR+	0	brca_igr_2015	Metastasis	143	143
RAF1	HR+	0.007	brca_igr_2015	Metastasis	143	143
ABL1	HR+	0.007	brca_igr_2015	Metastasis	143	143
CCND3	HR+	0.007	brca_igr_2015	Metastasis	143	143
HRAS	HR+	0.007	brca_igr_2015	Metastasis	143	143
MEN1	HR+	0.007	brca_igr_2015	Metastasis	143	143
JAK2	HR+	0.007	brca_igr_2015	Metastasis	143	143
MYCL	HR+	0.007	brca_igr_2015	Metastasis	143	143
GNAS	HR+	0	brca_igr_2015	Metastasis	143	143
JUN	HR+	0	brca_igr_2015	Metastasis	143	143
CRKL	HR+	0.007	brca_igr_2015	Metastasis	143	143
MSH6	HR+	0.007	brca_igr_2015	Metastasis	143	143
TGFBR2	HR+	0.007	brca_igr_2015	Metastasis	143	143
IL7R	HR+	0.007	brca_igr_2015	Metastasis	143	143
RAD50	HR+	0.007	brca_igr_2015	Metastasis	143	143
ROS1	HR+	0.007	brca_igr_2015	Metastasis	143	143
PTPRT	HR+	0.007	brca_igr_2015	Metastasis	143	143
IKBKE	HR+	0.007	brca_igr_2015	Metastasis	143	143
FLT4	HR+	0.007	brca_igr_2015	Metastasis	143	143
BRCA1	HR+	0.007	brca_igr_2015	Metastasis	143	143
MYH9	HR+	0.007	brca_igr_2015	Metastasis	143	143
PDGFRB	HR+	0.007	brca_igr_2015	Metastasis	143	143
RET	HR+	0.007	brca_igr_2015	Metastasis	143	143
WT1	HR+	0.007	brca_igr_2015	Metastasis	143	143
PTPN11	HR+	0.007	brca_igr_2015	Metastasis	143	143
SDHD	HR+	0.007	brca_igr_2015	Metastasis	143	143
FANCC	HR+	0.007	brca_igr_2015	Metastasis	143	143
FGFR2	HR+	0.007	brca_igr_2015	Metastasis	143	143
TOP1	HR+	0.007	brca_igr_2015	Metastasis	143	143
CCND2	HR+	0.007	brca_igr_2015	Metastasis	143	143
FLT1	HR+	0.007	brca_igr_2015	Metastasis	143	143
PIK3R2	HR+	0.007	brca_igr_2015	Metastasis	143	143
NOTCH1	HR+	0	brca_igr_2015	Metastasis	143	143
AKT2	HR+	0	brca_igr_2015	Metastasis	143	143
SOX2	HR+	0.007	brca_igr_2015	Metastasis	143	143
CDK6	HR+	0.007	brca_igr_2015	Metastasis	143	143
FLT3	HR+	0	brca_igr_2015	Metastasis	143	143
CREBBP	HR+	0.007	brca_igr_2015	Metastasis	143	143
NKX2-1	HR+	0	brca_igr_2015	Metastasis	143	143
DICER1	HR+	0.007	brca_igr_2015	Metastasis	143	143
TNFAIP3	HR+	0.007	brca_igr_2015	Metastasis	143	143
STK11	HR+	0.007	brca_igr_2015	Metastasis	143	143
MAP2K1	HR+	0.007	brca_igr_2015	Metastasis	143	143
FANCA	HR+	0.007	brca_igr_2015	Metastasis	143	143
MET	HR+	0	brca_igr_2015	Metastasis	143	143
IDH1	HR+	0.007	brca_igr_2015	Metastasis	143	143
REL	HR+	0.007	brca_igr_2015	Metastasis	143	143
TET2	HR+	0.007	brca_igr_2015	Metastasis	143	143
FLCN	HR+	0.007	brca_igr_2015	Metastasis	143	143
RARA	HR+	0.007	brca_igr_2015	Metastasis	143	143
NFE2L2	HR+	0.007	brca_igr_2015	Metastasis	143	143
SRC	HR+	0.007	brca_igr_2015	Metastasis	143	143
PIK3CB	HR+	0.007	brca_igr_2015	Metastasis	143	143
FOXO3	HR+	0.007	brca_igr_2015	Metastasis	143	143
RECQL4	HR+	0	brca_igr_2015	Metastasis	143	143
ERCC2	HR+	0	brca_igr_2015	Metastasis	143	143
ARID1B	HR+	0	brca_igr_2015	Metastasis	143	143
PIK3CA	HER2+	0.2143	brca_igr_2015	Metastasis	14	14
SYNE1	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
ESR1	HER2+	0	brca_igr_2015	Metastasis	14	14
KMT2D	HER2+	0	brca_igr_2015	Metastasis	14	14
EP300	HER2+	0.1429	brca_igr_2015	Metastasis	14	14
AKT1	HER2+	0	brca_igr_2015	Metastasis	14	14
ERBB4	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
PALB2	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
NF1	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
KMT2C	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
GATA3	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
CDKN2A	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
RB1	HER2+	0	brca_igr_2015	Metastasis	14	14
SETD2	HER2+	0	brca_igr_2015	Metastasis	14	14
BRCA2	HER2+	0	brca_igr_2015	Metastasis	14	14
KEAP1	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
TET1	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
MAP3K1	HER2+	0	brca_igr_2015	Metastasis	14	14
ASXL1	HER2+	0	brca_igr_2015	Metastasis	14	14
EPHB1	HER2+	0	brca_igr_2015	Metastasis	14	14
MAP2K4	HER2+	0	brca_igr_2015	Metastasis	14	14
BRAF	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
ARID2	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
SMARCA4	HER2+	0	brca_igr_2015	Metastasis	14	14
KMT2A	HER2+	0	brca_igr_2015	Metastasis	14	14
ARID1A	HER2+	0	brca_igr_2015	Metastasis	14	14
USP9X	HER2+	0	brca_igr_2015	Metastasis	14	14
KDM6A	HER2+	0	brca_igr_2015	Metastasis	14	14
ASXL2	HER2+	0	brca_igr_2015	Metastasis	14	14
IGF1R	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
PMS1	HER2+	0.1429	brca_igr_2015	Metastasis	14	14
BLM	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
PTEN	HER2+	0	brca_igr_2015	Metastasis	14	14
NOTCH2	HER2+	0	brca_igr_2015	Metastasis	14	14
PTCH1	HER2+	0	brca_igr_2015	Metastasis	14	14
ATR	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
FBXW7	HER2+	0	brca_igr_2015	Metastasis	14	14
ATM	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
MTOR	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
BIVM-ERCC5	HER2+	0	brca_igr_2015	Metastasis	14	14
CBFB	HER2+	0	brca_igr_2015	Metastasis	14	14
FANCD2	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
ERBB3	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
CARD11	HER2+	0	brca_igr_2015	Metastasis	14	14
ALK	HER2+	0	brca_igr_2015	Metastasis	14	14
AKAP9	HER2+	0	brca_igr_2015	Metastasis	14	14
ERBB2	HER2+	0	brca_igr_2015	Metastasis	14	14
TBX3	HER2+	0	brca_igr_2015	Metastasis	14	14
PTPRD	HER2+	0	brca_igr_2015	Metastasis	14	14
KIT	HER2+	0	brca_igr_2015	Metastasis	14	14
CTCF	HER2+	0	brca_igr_2015	Metastasis	14	14
TSC1	HER2+	0	brca_igr_2015	Metastasis	14	14
NCOR1	HER2+	0	brca_igr_2015	Metastasis	14	14
MITF	HER2+	0	brca_igr_2015	Metastasis	14	14
MAPK1	HER2+	0	brca_igr_2015	Metastasis	14	14
NTRK3	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
XPO1	HER2+	0	brca_igr_2015	Metastasis	14	14
EGFR	HER2+	0	brca_igr_2015	Metastasis	14	14
GNAQ	HER2+	0	brca_igr_2015	Metastasis	14	14
MAP3K13	HER2+	0	brca_igr_2015	Metastasis	14	14
JAK1	HER2+	0	brca_igr_2015	Metastasis	14	14
MLH1	HER2+	0	brca_igr_2015	Metastasis	14	14
PRDM1	HER2+	0	brca_igr_2015	Metastasis	14	14
TSC2	HER2+	0	brca_igr_2015	Metastasis	14	14
PIK3R1	HER2+	0	brca_igr_2015	Metastasis	14	14
PIK3CG	HER2+	0	brca_igr_2015	Metastasis	14	14
PBRM1	HER2+	0	brca_igr_2015	Metastasis	14	14
ATRX	HER2+	0	brca_igr_2015	Metastasis	14	14
PARP1	HER2+	0	brca_igr_2015	Metastasis	14	14
TSHR	HER2+	0	brca_igr_2015	Metastasis	14	14
UBR5	HER2+	0	brca_igr_2015	Metastasis	14	14
APC	HER2+	0	brca_igr_2015	Metastasis	14	14
KRAS	HER2+	0	brca_igr_2015	Metastasis	14	14
SF3B1	HER2+	0	brca_igr_2015	Metastasis	14	14
SMO	HER2+	0	brca_igr_2015	Metastasis	14	14
CDKN1B	HER2+	0	brca_igr_2015	Metastasis	14	14
FH	HER2+	0	brca_igr_2015	Metastasis	14	14
TAF1	HER2+	0	brca_igr_2015	Metastasis	14	14
BCL6	HER2+	0	brca_igr_2015	Metastasis	14	14
GPR124	HER2+	0	brca_igr_2015	Metastasis	14	14
CDH1	HER2+	0	brca_igr_2015	Metastasis	14	14
PPP2R1A	HER2+	0	brca_igr_2015	Metastasis	14	14
CHEK2	HER2+	0	brca_igr_2015	Metastasis	14	14
PAX5	HER2+	0	brca_igr_2015	Metastasis	14	14
CBL	HER2+	0	brca_igr_2015	Metastasis	14	14
CDK12	HER2+	0	brca_igr_2015	Metastasis	14	14
PDE4DIP	HER2+	0	brca_igr_2015	Metastasis	14	14
KDM5C	HER2+	0	brca_igr_2015	Metastasis	14	14
NSD1	HER2+	0	brca_igr_2015	Metastasis	14	14
AR	HER2+	0	brca_igr_2015	Metastasis	14	14
SMAD4	HER2+	0	brca_igr_2015	Metastasis	14	14
FGFR4	HER2+	0	brca_igr_2015	Metastasis	14	14
MYCN	HER2+	0	brca_igr_2015	Metastasis	14	14
ARID5B	HER2+	0	brca_igr_2015	Metastasis	14	14
LIFR	HER2+	0	brca_igr_2015	Metastasis	14	14
EZH2	HER2+	0	brca_igr_2015	Metastasis	14	14
EPHA3	HER2+	0	brca_igr_2015	Metastasis	14	14
MDM2	HER2+	0	brca_igr_2015	Metastasis	14	14
CIC	HER2+	0	brca_igr_2015	Metastasis	14	14
FOXP1	HER2+	0	brca_igr_2015	Metastasis	14	14
DDR2	HER2+	0	brca_igr_2015	Metastasis	14	14
IKZF1	HER2+	0	brca_igr_2015	Metastasis	14	14
PIK3CD	HER2+	0	brca_igr_2015	Metastasis	14	14
ERCC4	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
FGFR1	HER2+	0.0714	brca_igr_2015	Metastasis	14	14
RAF1	HER2+	0	brca_igr_2015	Metastasis	14	14
ABL1	HER2+	0	brca_igr_2015	Metastasis	14	14
CCND3	HER2+	0	brca_igr_2015	Metastasis	14	14
HRAS	HER2+	0	brca_igr_2015	Metastasis	14	14
MEN1	HER2+	0	brca_igr_2015	Metastasis	14	14
JAK2	HER2+	0	brca_igr_2015	Metastasis	14	14
MYCL	HER2+	0	brca_igr_2015	Metastasis	14	14
GNAS	HER2+	0	brca_igr_2015	Metastasis	14	14
JUN	HER2+	0	brca_igr_2015	Metastasis	14	14
CRKL	HER2+	0	brca_igr_2015	Metastasis	14	14
MSH6	HER2+	0	brca_igr_2015	Metastasis	14	14
TGFBR2	HER2+	0	brca_igr_2015	Metastasis	14	14
IL7R	HER2+	0	brca_igr_2015	Metastasis	14	14
RAD50	HER2+	0	brca_igr_2015	Metastasis	14	14
ROS1	HER2+	0	brca_igr_2015	Metastasis	14	14
PTPRT	HER2+	0	brca_igr_2015	Metastasis	14	14
IKBKE	HER2+	0	brca_igr_2015	Metastasis	14	14
FLT4	HER2+	0	brca_igr_2015	Metastasis	14	14
BRCA1	HER2+	0	brca_igr_2015	Metastasis	14	14
MYH9	HER2+	0	brca_igr_2015	Metastasis	14	14
PDGFRB	HER2+	0	brca_igr_2015	Metastasis	14	14
RET	HER2+	0	brca_igr_2015	Metastasis	14	14
WT1	HER2+	0	brca_igr_2015	Metastasis	14	14
PTPN11	HER2+	0	brca_igr_2015	Metastasis	14	14
SDHD	HER2+	0	brca_igr_2015	Metastasis	14	14
FANCC	HER2+	0	brca_igr_2015	Metastasis	14	14
FGFR2	HER2+	0	brca_igr_2015	Metastasis	14	14
TOP1	HER2+	0	brca_igr_2015	Metastasis	14	14
CCND2	HER2+	0	brca_igr_2015	Metastasis	14	14
FLT1	HER2+	0	brca_igr_2015	Metastasis	14	14
PIK3R2	HER2+	0	brca_igr_2015	Metastasis	14	14
NOTCH1	HER2+	0	brca_igr_2015	Metastasis	14	14
AKT2	HER2+	0	brca_igr_2015	Metastasis	14	14
SOX2	HER2+	0	brca_igr_2015	Metastasis	14	14
CDK6	HER2+	0	brca_igr_2015	Metastasis	14	14
FLT3	HER2+	0	brca_igr_2015	Metastasis	14	14
CREBBP	HER2+	0	brca_igr_2015	Metastasis	14	14
NKX2-1	HER2+	0	brca_igr_2015	Metastasis	14	14
DICER1	HER2+	0	brca_igr_2015	Metastasis	14	14
TNFAIP3	HER2+	0	brca_igr_2015	Metastasis	14	14
STK11	HER2+	0	brca_igr_2015	Metastasis	14	14
MAP2K1	HER2+	0	brca_igr_2015	Metastasis	14	14
FANCA	HER2+	0	brca_igr_2015	Metastasis	14	14
MET	HER2+	0	brca_igr_2015	Metastasis	14	14
IDH1	HER2+	0	brca_igr_2015	Metastasis	14	14
REL	HER2+	0	brca_igr_2015	Metastasis	14	14
TET2	HER2+	0	brca_igr_2015	Metastasis	14	14
FLCN	HER2+	0	brca_igr_2015	Metastasis	14	14
RARA	HER2+	0	brca_igr_2015	Metastasis	14	14
NFE2L2	HER2+	0	brca_igr_2015	Metastasis	14	14
SRC	HER2+	0	brca_igr_2015	Metastasis	14	14
PIK3CB	HER2+	0	brca_igr_2015	Metastasis	14	14
FOXO3	HER2+	0	brca_igr_2015	Metastasis	14	14
RECQL4	HER2+	0	brca_igr_2015	Metastasis	14	14
ERCC2	HER2+	0	brca_igr_2015	Metastasis	14	14
ARID1B	HER2+	0	brca_igr_2015	Metastasis	14	14
PIK3CA	TNBC	0.0784	brca_igr_2015	Metastasis	51	51
SYNE1	TNBC	0.0588	brca_igr_2015	Metastasis	51	51
ESR1	TNBC	0	brca_igr_2015	Metastasis	51	51
KMT2D	TNBC	0.0784	brca_igr_2015	Metastasis	51	51
EP300	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
AKT1	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
ERBB4	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
PALB2	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
NF1	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
KMT2C	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
GATA3	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
CDKN2A	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
RB1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
SETD2	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
BRCA2	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
KEAP1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
TET1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
MAP3K1	TNBC	0	brca_igr_2015	Metastasis	51	51
ASXL1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
EPHB1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
MAP2K4	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
BRAF	TNBC	0	brca_igr_2015	Metastasis	51	51
ARID2	TNBC	0	brca_igr_2015	Metastasis	51	51
SMARCA4	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
KMT2A	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
ARID1A	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
USP9X	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
