Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Karyotype band	Gene name
ENSG00000227205	119853316	119853748	1	p12	PFN1P9
ENSG00000226446	119886304	119886927	1	p12	NOTCH2P1
ENSG00000134249	119893533	119896515	1	p12	ADAM30
ENSG00000134250	119911553	120100779	1	p12	NOTCH2
ENSG00000273406	120076616	120077091	1	p12	AC245008.1
ENSG00000207149	120126974	120127074	1	p12	RNU6-465P
ENSG00000265808	120150898	120176520	1	p12	SEC22B
ENSG00000274642	120197085	120319680	1	p12	AC244669.2
ENSG00000277313	120228046	120228295	1	p12	7SK
ENSG00000223804	120267334	120341871	1	p12	AC244669.1
ENSG00000273727	120354987	120355148	1	p12	U1
ENSG00000270231	120419850	120467739	1	p11.2	NBPF8
ENSG00000270392	120432204	120434052	1	p11.2	PFN1P2
ENSG00000275131	120489860	120701289	1	p11.2	AC241952.1
ENSG00000273694	120571120	120571264	1	p11.2	U2
ENSG00000275933	120670127	120670376	1	p11.2	7SK
ENSG00000286106	120723946	120793874	1	p11.2	NOTCH2NLR
ENSG00000273136	120723949	120842110	1	p11.2	NBPF26
ENSG00000287979	120849674	120850985	1	p11.2	AC253572.1
ENSG00000275538	120850819	120850985	1	p11.2	RNVU1-19
ENSG00000263353	120889746	120890405	1	p11.2	PPIAL4A
ENSG00000281741	120913151	120914238	1	p11.2	AC241377.3
ENSG00000226067	120913184	121009291	1	p11.2	LINC00623
ENSG00000277610	120942600	120942763	1	p11.2	RNVU1-4
ENSG00000285215	120963645	120977585	1	p11.2	AC241377.4
ENSG00000275585	120985692	121052167	1	p11.2	AC241377.2
ENSG00000273516	121008362	121008507	1	p11.2	U1
ENSG00000275296	121058948	121059353	1	p11.2	AC241377.1
ENSG00000198019	121087345	121097161	1	p11.2	FCGR1B
ENSG00000234998	121087528	121116676	1	p11.2	AC244453.3
ENSG00000233029	121090289	121097655	1	p11.2	AC244453.2
ENSG00000223345	121108210	121117257	1	p11.2	H2BP1
ENSG00000227193	121118126	121146826	1	p11.2	AC244453.1
ENSG00000213244	121118195	121118610	1	p11.2	H3P4
